"데이터직무별(1)",2016,2017,2018,2019,2020
"데이터직무별(1)",전체,전체,전체,전체,전체
"평균",17.8,17.9,32.7,25.4,26.6
"데이터 아키텍트",-,-,40.1,4.4,9.4
"데이터 개발자",27.0,26.1,35.1,26.7,24.5
"데이터 엔지니어",9.3,10.2,28.4,6.4,15.1
"데이터 분석가",33.7,37.3,53.4,57.8,57.6
"데이터베이스 관리자",-,-,19.9,3.1,7.0
"데이터 과학자",13.2,11.0,15.8,53.7,57.5
"데이터 컨설턴트",6.1,7.1,28.2,7.3,3.4
"데이터 기획자",22.6,23.9,30.5,10.6,10.5
