"시설번호","년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","선풍기보유대수","에어컨보유대수","야간개방","휴일개방","숙박가능여부","입력시간","수정시간","사용여부","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"11200241","2022","1120079000","001","중앙하이츠(아)경로당","서울특별시 성동구 용답중앙27길 10","15-0","20","6","2","1","N","N","N","2021-03-15 11:02:54","2022-05-24 18:19:10","Y","","20220520","20220930","127.055524","37.563085","204905.601063","551507.231553"
"11200224","2022","1120069000","001","금호2차(아)경로당","서울특별시 성동구 연무장길 31","832-0","66","20","3","1","N","N","N","2021-03-15 11:02:54","2022-05-24 18:19:10","Y","","20220520","20220930","127.053117","37.543571","204694.163974","549341.287755"
"11290052","2022","1129059000","001","돈암힐스테이트(아)경로당","서울특별시 성북구 아리랑로 68","639-0","67","34","2","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.015135","37.598781","201336.571775","555467.682399"
"11740254","2022","1174062000","001","천호성원아파트 경로당","서울특별시 강동구 진황도로31길 26","564-0","51","10","1","1","N","N","N","2021-04-30 14:01:22","2022-06-30 16:08:38","Y","","20220520","20220930","127.134397","37.538759","211877.963048","548814.332156"
"1171000387","2022","1171064700","001","위례2차아이파크경로당","서울특별시 송파구 위례광장로 230","884-0","70","15","0","1","","","","2021-07-26 15:52:38","2022-07-04 18:03:09","Y","","20220520","20220930","127.144095","37.479745","212745.108830","542265.841062"
"1171000393","2022","1171065000","001","신잠실경로당","서울특별시 송파구 백제고분로18길 20-36","319-0","70","15","0","1","","","","2021-07-26 15:52:38","2022-07-04 18:03:24","Y","","20220520","20220930","127.082262","37.503913","207273.674936","544941.599163"
"11290051","2022","1129057500","001","동소문동2차 한신휴(아)경로당","서울특별시 성북구 동소문로15길 99","23-0","85","24","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.014150","37.595155","201249.630547","555065.278704"
"11290048","2022","1129059000","001","한진(아)북악경로당","서울특별시 성북구 성북로4길 52","609-1","119","83","2","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.008562","37.596570","200756.157883","555222.212754"
"11290049","2022","1129059000","001","돈암신일해피트리(아)경로당","서울특별시 성북구 아리랑로5길 92","642-0","103","20","3","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.012001","37.598462","201059.834086","555432.292451"
"11290050","2022","1129059000","001","돈암2동한진(아)경로당","서울특별시 성북구 성북로4길 52","609-1","119","26","4","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.012878","37.594849","201137.274436","555031.255559"
"11290047","2022","1129059000","001","일신건영휴먼빌(아)경로당","서울특별시 성북구 아리랑로 89","524-0","173","24","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.012679","37.600674","201119.639256","555677.807792"
"11290084","2022","1129062000","001","정릉1동 경로당","서울특별시 성북구 정릉로38가길 6","16-182","125","75","2","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.018458","37.602063","201629.906255","555832.022747"
"11290042","2022","1129058000","001","돈암 풍림(아) 제2경로당","서울특별시 성북구 북악산로 898","632-1","51","20","1","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.022183","37.596842","201959.005556","555252.687413"
"11290043","2022","1129058000","001","돈암동부센트레빌(아)경로당","서울특별시 성북구 정릉로 388","633-0","70","15","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.025964","37.602640","202292.731986","555896.253464"
"11290046","2022","1129059000","001","돈암더샵(아)경로당","서울특별시 성북구 아리랑로5길 85","603-0","71","21","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.008900","37.596915","200785.941695","555260.595471"
"11290074","2022","1129061000","001","보문하우스토리경로당","서울특별시 성북구 고려대로2길 37","116-0","48","34","3","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.021046","37.583951","201858.872255","553821.841824"
"11290075","2022","1129061000","001","이편한세상보문경로당","서울특별시 성북구 낙산길 255","230-0","171","29","3","3","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.015619","37.582195","201379.566358","553626.929987"
"11290080","2022","1129062000","001","정릉힐스테이트1차(아)경로당","서울특별시 성북구 북악산로 825-24","1030-0","41","52","2","2","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.017393","37.600255","201535.925138","555631.370084"
"11290081","2022","1129062000","001","쌍용스카이(아)경로당","서울특별시 성북구 북악산로 828","1014-0","55","24","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.016822","37.599400","201485.509960","555536.465371"
"11290082","2022","1129062000","001","정릉쌍용(아)경로당","서울특별시 성북구 북악산로 847","1017-0","38","38","2","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.018722","37.599366","201653.260773","555532.723494"
"11290083","2022","1129062000","001","경남(아)경로당","서울특별시 성북구 정릉로 305","1015-0","79","25","1","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.017882","37.604830","201578.966457","556139.130529"
"1150000219","2022","1150061100","001","마곡수명산파크3단지(아)어르신사랑방","서울특별시 강서구 수명로1길 110","751-0","93","20","2","2","N","N","N","2021-08-12 10:28:06","2022-05-17 09:21:42","Y","","20220520","20220930","126.824316","37.553317","184476.101546","550436.123332"
"11350248","2022","1135066000","005","상계67동주민센터","서울특별시 노원구 노원로 429","722-0","178","20","15","1","","","","2021-04-20 13:24:42","2022-07-05 15:46:03","Y","","20220520","20220930","127.066952","37.654882","205908.001972","561696.401184"
"11350273","2022","1135070000","005","상계8동주민센터","서울특별시 노원구 상계동 동일로227길 97 (상계동)","658","216","20","10","1","","","","2021-04-20 13:24:42","2022-07-05 15:46:13","Y","","20220520","20220930","127.052283","37.669483","204612.651687","563316.133797"
"11290215","2022","1129076000","001","장위1동경로당","서울특별시 성북구 장위로22길 51","3-101","123","40","6","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.043491","37.611671","203839.941319","556899.168089"
"11290216","2022","1129076000","001","장위1동 장수경로당","서울특별시 성북구 월계로32길 15","218-27","159","60","6","1","N","N","N","2021-04-19 16:14:39","2022-06-30 10:23:44","Y","","20220520","20220930","127.044753","37.618924","203951.010553","557704.214172"
